key,ky_latin,ky_kiril,en,tr,kz,az,ru
setting_no,Joq,Жок,No,Yok,Жоқ,Yox,Нет
setting_off,Öçük,Өчүк,Off,Off,Sönmüş,Söndürülmüş,Выкл
setting_on,Janıq,Жанык,On,On,Жанық,Açıq,Вкл
keyboardVariant,Bitik türü,Битик түрү,Bitik variant,Bitik Varyantı,Битик нұсқасы,Bitik Variantı,Вариант Битика
keyboardVariant_Classic,Tüp nusqa,Түп нуска,Classic,Klasik,Түпнұсқа,Klasik,Классический
keyboardVariant_Classic_Note,"Bitik tuuraluu köp bilbeseñiz, demeykini qoldonuñuz. Al tüp nusqağa da jaqın, üyrönüü jana qoldonuu da oñoy.","Битик тууралуу көп билбесеңиз, демейкини колдонуңуз. Ал түп нускага да жакын, үйрөнүү жана колдонуу да оңой.","If you are unfamiliar with Bitik, please use the default variant. It is close to the original and modernized a bit for ease of use.",Varsayılanı kullanın; orijinale yakın ve kullanımı kolay.,Әдепкі нұсқасын пайдаланыңыз; түпнұсқасына жақын және қолдануға оңай.,"Bitiklə tanış deyilsinizsə, standart variantdan istifadə edin. Orijinala yaxındır və istifadə asanlığı üçün bir az müasirləşdirilmişdir.","Если вы не знакомы с Битиком, используйте вариант по умолчанию. Оно близко к оригиналу, но немного модернизировано совсем чуть чуть."
keyboardVariant_Standart,Demeyki,Демейки,Default,Varsayılan,Әдепкі,Standart,По умолчанию
keyboardVariant_Standart_Note,"Demeyki variantı bul biraz ıñgaylaştırlğan orignal! Qarapayım qoldonuuçuğa da oñoy, tüp nusqağa da jaqın.","Демейки варианты бул бираз ыңгайлаштырылган оригинал! Карапайым колдонуучуга да оңой, түп нускага да жакын.","Default variant is the original Bitik but modernized a bit! It will be easy for an average user and does not violate the original Bitik rules.","Varsayılan varyant biraz uyarlanmış; kullanıcı için kolay ve orijinale yakın.","Әдепкі нұсқа аздап бейімделген; қарапайым қолданушыға оңай және түпнұсқасына жақын.","Standart variant orijinal Bitikdir, lakin bir az müasirləşdirilmişdir! Adi istifadəçi üçün asan olacaq və orijinal Bitik qaydalarını pozmur.","Вариант по умолчанию - это оригинал, но немного модернизированный. Подходит для обычного пользователя."
keyboardVariant_Modern,Zamanbaptalğan,Заманбапталган,Modernized,Modernleştirilmiş,Модернизацияланған,Müasirləşdirilmiş,Модернизированный
keyboardVariant_Modern_Note,"Ooba, ıñgayluu biroq rasmiy emes, avtor jañılağan bitik qoldonuudasız!","Ооба, ыңгайлуу бирок расмий эмес, автор жаңылаган битик колдонуудасыз!","You are using the modernized version (by the author). Although it is easy to use, it has letters that are not ""official"".","Rahat ama resmi değil; yazar tarafından değiştirilmiş","Ыңғайлы, бірақ ресми емес; автор өзгерткен нұсқа!","Rahatdır, lakin rəsmi deyil; müəllif tərəfindən dəyişdirilmiş versiya!","Вы ипользуйте модернизованный автором вариант. Да, оно удобное, но содержит ""неоффициальные"" тамги."
keyboardDialect,Bitik dialekti,Битик диалекти,Bitik dialect,Bitik Diyalekti,Битик диалектісі,Bitik Dialekti,Диалект Битика
keyboardDialect_Altay,Altay,Алтай,Altay,Altay,Алтай,Altay,Алтай
keyboardDialect_Orhon,Orhon,Орхон,Orhon,Orhon,Орхон,Orxon,Орхон
howItLooks,Körünüşü,Көрүнүшү,How it looks,Nasıl görünüyor,Қалай көрінеді,Necə görünür,Как выглядит
whatIsIt,Bul emne?,Бул эмне?,What is it?,Bu nedir?,Бұл не?,Bu nədir?,Что это?
bitikLayout,Bitik tüzülüş,Битик түзүлүш,Bitik layout,Bitik Yerleşimi,Bitik Ornatılışı,Bitik Düzülüşü,Битик раскладка
textTranscription,Jazuu transkripsiya,Жазуу транскрипция,Text transcription,Metin Transkripsiyonu,Мәтін транскрипциясы,Mətn Transkripsiyası,Транскрипция текста
letterTranscription,Tamğa transkripsiya,Тамга транскрипция,Letter transcription,Harf Transkripsiyonu,Әріп транскрипциясы,Hərf Transkripsiyası,Транскрипция буквы
colon,Eki çekit,Эки чекит,Colon,İki nokta,Екі нүкте,İki nöqtə,Двоеточие
experience,Seziliş,Сезилиш,Experience,Deneyim,Тәжірибе,Təcrübə,Прочее визуальное
coloring,Tüstöö,Түстөө,Coloring,Renklendirme,Түстерлеу,Rəngləmə,Окрашивание
vibration,Dirildöö,Дириолөө,Vibration,Titreşim,Діріл,Vibrasiya,Вибрация
clickSound,Basuu ünü,Басуу үнү,Click sound,Tıklama sesi,Басу дыбысы,Klik səsi,Звук нажатия
holdabilityIndicator,Uzaq basa aluu belgisi,Узак баса алуу белгиси,Holdability indicator,Basılı tutma göstergesi,Ұзақ басу индикаторы,Saxlama göstəricisi,Индикатор удерживания
bitikFont,Bitik şrifti,Битик шрифти,Bitik font,Bitik Yazı Tipi,Битик қарпы,Bitik Şrifti,Шрифт Битика
bitikFont_System,Sistemalıq,Системалык,System,Sistem,Жүйелік,Sistem,Системный
bitikFont_Zamanchak,Zamanchak,Заманчак,Zamanchak,Zamanchak,Заманчак,Zamançak,Заманчак
letters,Tamğalar,Тамгалар,Letters,Hərflər,Әріптер,Hərflər,Буквы
ajLetter,aJ tamğa,аЖ тамга,aJ letter,aJ Harfi,аЖ әрпі,aJ Hərfi,аЖ буква
ebLetter,eB tamğa,эБ тамга,eB letter,eB Harfi,еБ әрпі,eB Hərfi,эБ буква
enLetter,eN tamğa,эН тамга,eN letter,eN Harfi,еН әрпі,eN Hərfi,эН буква
forAltayDialekt,Altay dialekti üçün,Алтай диалекти үчүн,For altay dialect,Altay lehçesi için,Алтай диалектісі үшін,Altay dialekti üçün,Для алтайского диалекта
eshLetter,eŞ tamğa,эШ тамга,eŞ letter,eŞ Harfi,еШ әрпі,eŞ Hərfi,эШ буква
asLetter,aS tamğa,аС тамга,aS letter,aS Harfi,аС әрпі,aS Hərfi,aС буква
ekLetter,eK tamğa,эК тамга,eK letter,eK Harfi,еК әрпі,eK Hərfi,эК буква
forOrhonDialekt,Orhon dialekti üçün,Орхон диалекти үчүн,For orhon dialect,Orhon lehçesi için,Орхон диалектісі үшін,Orxon dialekti üçün,Для орхонского диалекта
angLetter,aÑ tamğa,аҢ тамга,aÑ letter,aÑ Harfi,аҢ әрпі,aÑ Hərfi,аҢ буква
